"","count","sheep","hunting","unicorn","vegetation_height"
"1",22,5.6933564014108,"low",5.31811660010532,92.5671395707303
"2",22,9.92039241192316,"mid",3.98259318303238,96.9275883367943
"3",20,7.12341721674352,"high",5.78236527570353,110.124780581284
"4",22,8.25521531527569,"low",6.45713689769135,98.3060498581228
"5",23,14.4493212814436,"mid",4.41357543141116,111.193090829104
"6",21,11.562917182573,"high",4.33499761851126,93.9549444314078
"7",22,8.19598411854353,"low",4.38238663514582,87.3855628680832
"8",22,9.7264028278548,"mid",4.46235801434013,95.3628849948962
"9",21,9.99919940916838,"high",2.19983190237091,93.2393420724964
"10",23,10.982798491291,"low",6.67273184461705,106.344051741905
"11",23,12.1388230559819,"mid",5.37222253034628,100.65612566542
"12",20,8.06536581541688,"high",5.31430206269491,93.6850955507511
"13",24,13.4600738438275,"low",3.8981133637702,91.1677069798386
"14",22,10.6282644981305,"mid",2.92021677357425,97.5123543616857
"15",21,9.64865649601622,"high",5.24329907435547,97.9762135289746
"16",23,9.70871095987454,"low",6.33025207916786,79.5288769004464
"17",24,15.1503016094314,"mid",5.80937620295448,106.667608782769
"18",22,13.8842297650095,"high",4.01669426991664,96.2730362355577
"19",23,9.85672192785747,"low",3.94174572621214,100.883558763693
"20",21,7.22343378660001,"mid",5.3331643181173,102.522972754869
"21",21,10.0313623041847,"high",6.12260714546398,107.806046357524
"22",21,2.78976264721934,"low",4.64378522368817,109.001095989484
"23",21,7.60094672533419,"mid",5.75604264937441,111.578162977836
"24",22,14.4506499103707,"high",4.57311908457678,106.758972517906
"25",22,8.21154381841706,"low",4.34234676602352,98.1785646958002
"26",23,12.4560994695091,"mid",4.31687355864525,93.569382450356
"27",21,10.3628782119993,"high",5.1900839556247,112.081925644228
"28",24,12.8585146846119,"low",3.26393068903335,100.547055722183
"29",22,10.7892741075566,"mid",6.26016468004015,111.318925243543
"30",21,10.8053421789834,"high",4.36381127539876,91.526932015884
"31",23,9.43638445055729,"low",5.88730501261213,99.0975359981736
"32",23,13.8181452853808,"mid",6.50582912120927,85.1982561306624
"33",22,12.9646065171124,"high",5.64575048089919,89.4900971154205
"34",22,8.1897681175776,"low",5.34075581068942,101.719321259427
"35",19,-0.441799285349727,"mid",6.02872829068761,83.9644741617449
"36",21,10.6052552630413,"high",3.87360081289366,110.531971394243
"37",23,9.02336843697113,"low",5.37437157656476,95.5684438441578
"38",22,8.80855409284469,"mid",7.44462730882121,106.790185304177
"39",21,8.66264779833981,"high",6.23175219467891,116.355630017925
"40",23,9.96436895481695,"low",5.95709567293741,99.0382367116397
"41",21,7.93729364700063,"mid",4.47055500975183,116.390690767035
"42",22,12.5119285821748,"high",3.68556768201066,87.2632160270016
"43",23,9.70270975543802,"low",4.00751736909907,100.139771829329
"44",21,7.40332782167007,"mid",6.05031551274636,122.241141440722
"45",21,8.83836274454227,"high",5.63728048623441,103.780780414478
"46",24,13.3737118752067,"low",5.99235991990007,87.1778539486764
